VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
,2021-01-05 10:38:40,2021-01-05 10:46:20,,1.3,,,170,161,,7.0,0.0,0.5,1.03,0.0,0.3,11.33,2.5
,2021-01-05 10:17:14,2021-01-05 10:41:21,,7.9,,,216,198,,31.49,0.0,0.5,2.75,0.0,0.3,35.04,0.0
,2021-01-05 10:39:00,2021-01-05 10:46:00,,0.98,,,62,62,,16.23,0.0,0.5,2.75,0.0,0.3,19.78,0.0
,2021-01-05 10:05:00,2021-01-05 10:19:00,,1.59,,,85,71,,13.45,0.0,0.5,2.75,0.0,0.3,17.0,0.0
,2021-01-05 10:18:08,2021-01-05 10:41:40,,9.87,,,236,208,,30.23,0.0,0.5,2.75,6.12,0.3,39.9,0.0
,2021-01-05 10:06:19,2021-01-05 10:26:11,,10.28,,,185,235,,22.93,0.0,0.5,2.75,0.0,0.3,26.48,0.0
,2021-01-05 10:10:02,2021-01-05 10:28:14,,7.14,,,55,155,,24.42,0.0,0.5,2.75,0.0,0.3,27.97,0.0
,2021-01-05 10:49:03,2021-01-05 11:02:57,,1.5,,,236,161,,12.5,0.0,0.5,3.16,0.0,0.3,18.96,2.5
,2021-01-05 10:01:50,2021-01-05 11:01:03,,11.81,,,265,92,,31.68,0.0,0.5,0.0,0.0,0.3,32.48,0.0
,2021-01-05 10:43:18,2021-01-05 11:06:16,,9.78,,,83,244,,28.46,0.0,0.5,2.75,6.12,0.3,38.13,0.0
,2021-01-05 10:07:13,2021-01-05 10:24:51,,7.27,,,170,196,,28.08,0.0,0.5,2.75,6.12,0.3,37.75,0.0
,2021-01-05 10:53:00,2021-01-05 11:32:00,,13.6,,,163,250,,37.37,0.0,0.5,2.75,0.0,0.3,40.92,0.0
,2021-01-05 10:05:00,2021-01-05 10:25:00,,4.74,,,75,143,,20.68,0.0,0.5,2.75,0.0,0.3,24.23,0.0
,2021-01-10 09:40:00,2021-01-10 09:51:00,,5.53,,,213,42,,23.05,0.0,0.5,2.75,0.0,0.3,26.6,0.0
,2021-01-10 09:34:22,2021-01-10 09:46:30,,2.62,,,76,76,,18.45,0.0,0.5,2.75,0.0,0.3,22.0,0.0
,2021-01-10 09:01:52,2021-01-10 09:01:02,,1.82,,,265,133,,15.2,0.0,0.5,0.0,0.0,0.3,16.0,0.0
,2021-01-10 09:19:00,2021-01-10 09:36:00,,6.34,,,159,31,,32.71,0.0,0.5,2.75,0.0,0.3,36.26,0.0
,2021-01-10 09:20:00,2021-01-10 09:29:00,,1.42,,,26,133,,16.23,0.0,0.5,2.75,0.0,0.3,19.78,0.0
,2021-01-10 09:56:53,2021-01-10 10:04:59,,1.21,,,166,74,,14.15,0.0,0.5,2.75,0.0,0.3,17.7,0.0
,2021-01-10 09:21:43,2021-01-10 09:25:38,,1.14,,,75,74,,14.95,0.0,0.5,2.75,0.0,0.3,18.5,0.0
,2021-01-10 09:33:44,2021-01-10 09:42:40,,3.44,,,75,170,,14.13,0.0,0.5,3.72,0.0,0.3,21.15,2.5
,2021-01-10 09:01:13,2021-01-10 09:01:03,,1.24,,,265,19,,15.2,0.0,0.5,0.0,0.0,0.3,16.0,0.0
,2021-01-10 09:47:39,2021-01-10 10:03:41,,7.77,,,247,254,,30.81,0.0,0.5,2.75,0.0,0.3,34.36,0.0
,2021-01-10 09:30:15,2021-01-10 09:56:52,,14.16,,,193,77,,33.51,0.0,0.5,2.75,0.0,0.3,37.06,0.0
,2021-01-10 09:24:32,2021-01-10 09:31:48,,1.3,,,236,238,,7.5,0.0,0.5,1.62,0.0,0.3,12.42,2.5
,2021-01-10 09:27:00,2021-01-10 09:51:00,,11.63,,,191,35,,48.35,0.0,0.5,2.75,0.0,0.3,51.9,0.0
,2021-01-10 09:20:43,2021-01-10 09:45:45,,5.52,,,222,36,,26.33,0.0,0.5,2.75,0.0,0.3,29.88,0.0
,2021-01-10 09:57:52,2021-01-10 10:11:45,,6.26,,,185,47,,22.93,0.0,0.5,2.75,0.0,0.3,26.48,0.0
